#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
11,P111_270_W8_R8,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,"TRNSYS Completed Successfully",0,31,1322.9700 Seconds,0.0%,-
13,P111_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1336.8199 Seconds,0.0%,-
17,P111_90_W8_R12,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,"TRNSYS Completed Successfully",0,31,1356.2600 Seconds,0.0%,-
21,P111_90_W8_R14,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,"TRNSYS Completed Successfully",0,31,1566.2200 Seconds,0.0%,-
5,P111_90_W8_R6,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,"TRNSYS Completed Successfully",0,31,1342.7700 Seconds,0.0%,-
9,P111_90_W8_R8,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,"TRNSYS Completed Successfully",0,31,1369.8400 Seconds,0.0%,-
24,P112_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,30,1434.5200 Seconds,0.0%,-
26,P112_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1418.6801 Seconds,0.0%,-
27,P112_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1415.7900 Seconds,0.0%,-
25,P112_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1437.7900 Seconds,0.0%,-
28,P121_0_W6_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,30,1413.4900 Seconds,0.0%,-
